Course Title,Description
Lập trình Java cơ bản,"Học Java từ đầu: cài đặt, cú pháp, biến, vòng lặp, OOP."
Lập trình Python cho người mới bắt đầu,Nắm vững Python từ cơ bản đến ứng dụng thực tế.
Thiết kế Web với HTML & CSS,"Tạo trang web cơ bản bằng HTML, CSS."
Lập trình JavaScript cơ bản,Tạo website tương tác với JavaScript.
Cơ bản về Git & GitHub,Quản lý mã nguồn hiệu quả với Git và GitHub.
Thiết kế giao diện web với Figma,Thiết kế UI web hiện đại bằng Figma.
Lập trình SQL và quản lý cơ sở dữ liệu,Truy vấn và quản lý dữ liệu bằng SQL.
ReactJS cơ bản,Tạo ứng dụng web với thư viện ReactJS.
Thiết kế web chuẩn responsive,Giao diện web tương thích mọi thiết bị.
Phát triển Web Fullstack với MERN,Xây dựng ứng dụng web MERN hoàn chỉnh.
Tư duy lập trình cho người mới bắt đầu,Phát triển tư duy logic trong lập trình.
Khóa học C++ cơ bản,Bắt đầu với lập trình C++ từ A đến Z.
Làm quen với Data Structures & Algorithms,Cấu trúc dữ liệu và thuật toán cơ bản.
Thiết kế UI/UX cơ bản,Nền tảng thiết kế giao diện và trải nghiệm người dùng.
Lập trình Android với Java,Tạo ứng dụng Android đầu tiên bằng Java.
